Drug	Target
D05429	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D05441	DNA
D05442	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
	CPT [HSA:1374 1375 126129 1376] [KO:K08765 K19523 K19524 K08766]
D05446	ERBB2* (HER2, CD340) [HSA_VAR:2064v1 2064v3] [HSA:2064] [KO:K05083]
D05447	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D05451	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05452	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D05453	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D05454	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D05457	VKORC1 [HSA:79001] [KO:K05357]
D05458	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
	MAO [HSA:4128 4129] [KO:K00274]
D05459	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
	MAO [HSA:4128 4129] [KO:K00274]
D05461	DNA gyrase [KO:K02469 K02470]
D05462	OPRM1 [HSA:4988] [KO:K04215]
	OPRK1 [HSA:4986] [KO:K04214]
	OPRD1 [HSA:4985] [KO:K04213]
D05466	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D05471	HTR4 [HSA:3360] [KO:K04160]
D05474	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D05476	ADRB2 [HSA:154] [KO:K04142]
D05478	CHRM3 [HSA:1131] [KO:K04131]
	CHRM2 [HSA:1129] [KO:K04130]
D05479	AOC1 (DAO) [HSA:26] [KO:K11182]
	NOS [HSA:4842 4843 4846] [KO:K13240 K13241 K13242]
D05480	PPP3C/PPP3R/CHP [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]
D05482	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
	ABCC9(SUR2)/KCNJ11(KIR6.2) [HSA:10060 3767] [KO:K05033 K05004]
D05486	GABA-gated chloride channel [KO:K05181 K05195 K05175]
D05487	DNA
D05491	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D05492	penicillin binding protein
D05494	penicillin binding protein
D05496	penicillin binding protein
D05498	ALOX5 [HSA:240] [KO:K00461]
D05499	ALOX5 [HSA:240] [KO:K00461]
D05500	DHFR [HSA:1719 200895] [KO:K00287]
D05501	50S ribosomal subunit
D05502	TBXAS1 (CYP5A1) [HSA:6916] [KO:K01832]
D05510	TOP2 [HSA:7153 7155] [KO:K03164]
D05511	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05512	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05513	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05514	PDE3 [HSA:5139 5140] [KO:K19021 K13296]
D05520	penicillin binding protein
D05521	penicillin binding protein
D05522	TOP2 [HSA:7153 7155] [KO:K03164]
D05523	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR1 [HSA:3350 3351 3352 3354 3355] [KO:K04153]
D05528	Human rhinovirus VP1
D05535	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D05538	HIV protease [KO:K22599]
D05575	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
	DRD4 [HSA:1815] [KO:K04147]
D05587	ADRB1 [HSA:153] [KO:K04141]
D05588	HBV reverse transcriptase [KO:K21037]
D05589	DHFR [HSA:1719 200895] [KO:K00287]
D05590	ACHE [HSA:43] [KO:K01049]
D05597	P2RY12 [HSA:64805] [KO:K04298]
D05598	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05599	GNRHR [HSA:2798] [KO:K04280]
D05601	NR3C1 (GR) [HSA:2908] [KO:K05771]
D05602	DNA
D05603	NR3C1 (GR) [HSA:2908] [KO:K05771]
D05605	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D05610	CD4 [HSA:920] [KO:K06454]
D05612	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D05621	GABBR [HSA:2550 9568] [KO:K04615]
	GABRA1 [HSA:2554] [KO:K05175]
D05622	INSR (CD220) [HSA:3643] [KO:K04527]
D05628	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D05629	30S ribosomal subunit
D05631	OPRM1 [HSA:4988] [KO:K04215]
D05632	OPRM1 [HSA:4988] [KO:K04215]
D05637	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D05640	NR3C2 (MR) [HSA:4306] [KO:K08555]
D05642	PTGFR [HSA:5737] [KO:K04262]
D05646	OPRK1 [HSA:4986] [KO:K04214]
D05648	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D05649	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D05653	ribosome
D05655	ribosome
D05660	HRH1 [HSA:3269] [KO:K04149]
D05663	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D05664	HRH1 [HSA:3269] [KO:K04149]
D05667	OPRK1 [HSA:4986] [KO:K04214]
	OPRM1 [HSA:4988] [KO:K04215]
	OPRD1 [HSA:4985] [KO:K04213]
D05671	ALOX5AP [HSA:241] [KO:K20735]
D05674	NR3C4 (AR) [HSA:367] [KO:K08557]
D05677	DRD2 [HSA:1813] [KO:K04145]
D05679	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D05680	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D05682	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
D05685	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D05687	50S ribosomal subunit
D05688	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D05689	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D05690	DRD2 [HSA:1813] [KO:K04145]
D05691	ADRB2 [HSA:154] [KO:K04142]
D05692	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D05695	HIV-1 reverse transcriptase [KO:K24802]
D05696	peptidoglycan
D05697	VEGFA [HSA:7422] [KO:K05448]
D05699	HRH2 [HSA:3274] [KO:K04150]
D05703	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D05706	protective antigen (PA) [KO:K11030]
D05708	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D05709	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D05711	ADORA2A [HSA:135] [KO:K04266]
D05712	CSF2RA (GMCSFR, CD116) [HSA:1438] [KO:K05066]
D05714	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D05716	FGFR [HSA:2260 2263 2261 2264] [KO:K04362 K05093 K05094 K05095]
D05718	ADRB2 [HSA:154] [KO:K04142]
D05719	NR3C1 (GR) [HSA:2908] [KO:K05771]
D05720	50S ribosomal subunit
D05722	ATP4 [HSA:495 496] [KO:K01542 K01543]
D05727	TBXA2R [HSA:6915] [KO:K04264]
	TBXAS1 (CYP5A1) [HSA:6916] [KO:K01832]
D05728	PLA2G7 (LP-PLA2) [HSA:7941] [KO:K01062]
D05729	NR3C1 (GR) [HSA:2908] [KO:K05771]
D05730	ADRB2 [HSA:154] [KO:K04142]
D05731	CNR1 [HSA:1268] [KO:K04277]
D05732	PTGER2 [HSA:5732] [KO:K04259]
D05734	GHSR [HSA:2693] [KO:K04284]
D05738	HTR2A [HSA:3356] [KO:K04157]
	HTR2C [HSA:3358] [KO:K04157]
D05739	NR1C3 (PPARG) [HSA:5468] [KO:K08530]
D05740	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D05742	HRH1 [HSA:3269] [KO:K04149]
D05744	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D05746	CYP19A1 (ARO) [HSA:1588] [KO:K07434]
D05768	DRD2 [HSA:1813] [KO:K04145]
D05769	HRH1 [HSA:3269] [KO:K04149]
D05772	ITGA2B/ITGB3 [HSA:3674 3690] [KO:K06476 K06493]
D05775	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D05776	Human rhinovirus 3C protease
D05777	TNFSF5 (CD154) [HSA:959] [KO:K03161]
D05779	CHRM1 [HSA:1128] [KO:K04129]
D05782	SI* [HSA_VAR:6476v1] [HSA:6476] [KO:K01203]
D05784	PRKCB [HSA:5579] [KO:K19662]
	PRKCD [HSA:5580] [KO:K06068]
	PRKCE [HSA:5581] [KO:K18050]
	PIK3C3 [HSA:5289] [KO:K00914]
D05785	PRKCB [HSA:5579] [KO:K19662]
	PRKCD [HSA:5580] [KO:K06068]
	PRKCE [HSA:5581] [KO:K18050]
	PIK3C3 [HSA:5289] [KO:K00914]
D05791	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D05792	ADRB2 [HSA:154] [KO:K04142]
D05800	sterol 14alpha-demethylase [KO:K05917]
D05801	AGTR1 [HSA:185] [KO:K04166]
D05802	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D05803	CSF2RA (GMCSFR, CD116) [HSA:1438] [KO:K05066]
D05804	HTR1A [HSA:3350] [KO:K04153]
	DRD2 [HSA:1813] [KO:K04145]
D05805	penicillin binding protein
D05806	penicillin binding protein
D05807	DNA
D05811	50S ribosomal subunit
D05812	SSTR [HSA:6751 6752 6753 6754 6755] [KO:K04217 K04218 K04219 K04220 K04221]
D05817	SV2A [HSA:9900] [KO:K06258]
D05818	ADORA1 [HSA:134] [KO:K04265]
D05819	FLT3 (CD135) [HSA:2322] [KO:K05092]
	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
	KIT (CD117) [HSA:3815] [KO:K05091]
D05822	DNA
D05827	MC2R [HSA:4158] [KO:K04200]
D05829	HTR2 [HSA:3356 3357 3358] [KO:K04157]
D05831	HCMV glycoprotein H [KO:K22777]
D05832	ADRB2 [HSA:154] [KO:K04142]
	DRD2 [HSA:1813] [KO:K04145]
D05834	ITGA2B/ITGB3 [HSA:3674 3690] [KO:K06476 K06493]
D05837	NR3C4 (AR) [HSA:367] [KO:K08557]
D05847	CD2 [HSA:914] [KO:K06449]
D05857	PDK [HSA:5164 5165 5166] [KO:K00898]
D05879	ADRB3 [HSA:155] [KO:K04143]
D05884	GHR [HSA:2690] [KO:K05080]
D05891	DRD4 [HSA:1815] [KO:K04147]
D05893	AKR1B1 [HSA:231] [KO:K00011]
D05900	ATP4 [HSA:495 496] [KO:K01542 K01543]
D05901	ATP4 [HSA:495 496] [KO:K01542 K01543]
D05902	ADRB2 [HSA:154] [KO:K04142]
D05906	ATP4 [HSA:495 496] [KO:K01542 K01543]
D05907	OPRK1 [HSA:4986] [KO:K04214]
D05908	50S ribosomal subunit
D05910	DNA
D05911	DNA
D05912	NR3C2 (MR) [HSA:4306] [KO:K08555]
D05917	MSTN [HSA:2660] [KO:K05497]
D05922	HMOX [HSA:3162 3163] [KO:K00510 K21418]
D05932	DNA
D05938	OPRM1 [HSA:4988] [KO:K04215]
D05939	HRH2 [HSA:3274] [KO:K04150]
D05941	HTR4 [HSA:3360] [KO:K04160]
D05947	dihydropteroate synthase [KO:K00796]
D05948	dihydropteroate synthase [KO:K00796]
D05949	dihydropteroate synthase [KO:K00796]
D05952	dihydropteroate synthase [KO:K00796]
D05956	dihydropteroate synthase [KO:K00796]
D05957	dihydropteroate synthase [KO:K00796]
D05969	penicillin binding protein
D05970	TBXA2R [HSA:6915] [KO:K04264]
D05972	penicillin binding protein
	beta-lactamases
D05974	penicillin binding protein
D05980	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D05981	ACHE [HSA:43] [KO:K01049]
D05988	HDAC1 [HSA:3065] [KO:K06067]
D05989	DPP8 [HSA:54878] [KO:K08655]
	DPP9 [HSA:91039] [KO:K08656]
D05990	DPP8 [HSA:54878] [KO:K08655]
	DPP9 [HSA:91039] [KO:K08656]
D05993	DNA
D05994	IgE [KO:K06856]
D05996	TACR3 (NK3R) [HSA:6870] [KO:K04224]
D05997	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D05999	DHFR [HSA:1719 200895] [KO:K00287]
D06000	CHRM1 [HSA:1128] [KO:K04129]
D06001	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06003	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D06004	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D06005	FLT3 (CD135) [HSA:2322] [KO:K05092]
	PDGFRB [HSA:5159] [KO:K05089]
	KIT (CD117) [HSA:3815] [KO:K05091]
D06007	OPRM1 [HSA:4988] [KO:K04215]
	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D06008	ABCB1 (CD243) [HSA:5243] [KO:K05658]
D06009	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06010	AGTR1 [HSA:185] [KO:K04166]
D06012	HRH1 [HSA:3269] [KO:K04149]
D06014	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D06015	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D06016	CHRNA3/CHRNB4 [HSA:1136 1143] [KO:K04805 K04815]
	CHRNA4/CHRNB2 [HSA:1137 1141] [KO:K04806 K04813]
D06017	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
	ALOX5 [HSA:240] [KO:K00461]
D06019	ADORA1 [HSA:134] [KO:K04265]
D06020	CASR [HSA:846] [KO:K04612]
D06021	HRH1 [HSA:3269] [KO:K04149]
D06028	CEACAM [HSA:1048 1084 1087 1088 1089 4680 634 90273] [KO:K06499]
	MUC1 (CD227) [HSA:4582] [KO:K06568]
D06053	GLP2R [HSA:9340] [KO:K04582]
D06054	clumping factor A [KO:K14201]
D06056	HTR4 [HSA:3360] [KO:K04160]
D06057	peptidoglycan (D-Ala-D-Ala)
D06059	TOP2 [HSA:7153 7155] [KO:K03164]
D06061	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D06062	acetylcholinesterase (AChE) [KO:K01049]
D06063	HRH1 [HSA:3269] [KO:K04149]
D06064	penicillin binding protein
D06067	DNA
D06068	MTOR [HSA:2475] [KO:K07203]
D06071	TNFRSF5 (CD40) [HSA:958] [KO:K03160]
D06072	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D06073	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D06074	HBV reverse transcriptase [KO:K21037]
	HIV-1 reverse transcriptase [KO:K24802]
D06075	ALOX5 [HSA:240] [KO:K00461]
D06076	ACE (CD143) [HSA:1636] [KO:K01283]
D06077	TBXA2R [HSA:6915] [KO:K04264]
	TBXAS1 (CYP5A1) [HSA:6916] [KO:K01832]
D06078	PTH1R [HSA:5745] [KO:K04585]
D06080	DNA
D06084	HRH1 [HSA:3269] [KO:K04149]
	ABCB1 (CD243) [HSA:5243] [KO:K05658]
D06085	NR3C4 (AR) [HSA:367] [KO:K08557]
D06086	NR3C4 (AR) [HSA:367] [KO:K08557]
D06087	NR3C4 (AR) [HSA:367] [KO:K08557]
D06097	dihydrofolate reductase [KO:K13938]
D06098	30S ribosomal subunit
D06100	RRM1 [HSA:6240] [KO:K10807]
D06102	NR1C1 (PPARA) [HSA:5465] [KO:K07294]
D06103	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D06104	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D06106	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D06109	HPRT1 [HSA:3251] [KO:K00760]
D06111	50S ribosomal subunit
D06120	TRHR [HSA:7201] [KO:K04282]
D06127	50S ribosomal subunit
D06128	50S ribosomal subunit
D06129	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D06130	IMPDH [HSA:3614 3615] [KO:K00088]
D06132	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D06135	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06137	penicillin binding protein
D06138	penicillin binding protein
D06140	LTB4R [HSA:1241 56413] [KO:K04296 K04297]
D06142	F3 (CD142) [HSA:2152] [KO:K03901]
	F10 [HSA:2159] [KO:K01314]
D06144	penicillin binding protein
D06145	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D06146	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D06147	OPRM1 [HSA:4988] [KO:K04215]
D06157	HRH2 [HSA:3274] [KO:K04150]
D06160	SERPINE1 (PAI1) [HSA:5054] [KO:K03982]
D06161	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06162	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D06167	TOP2 [HSA:7153 7155] [KO:K03164]
D06171	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06172	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D06175	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D06176	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D06177	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D06180	urease [KO:K01428 K01429 K01430 K14048]
D06182	LYN [HSA:4067] [KO:K05854]
D06189	OPRD1 [HSA:4985] [KO:K04213]
	OPRM1 [HSA:4988] [KO:K04215]
	OPRK1 [HSA:4986] [KO:K04214]
D06190	TOP2 [HSA:7153 7155] [KO:K03164]
D06191	NR3C4 (AR) [HSA:367] [KO:K08557]
D06192	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D06193	TNFSF5 (CD154) [HSA:959] [KO:K03161]
D06194	SELP (CD62P) [HSA:6403] [KO:K06496]
D06195	CETP [HSA:1071] [KO:K16835]
D06196	HBV reverse transcriptase [KO:K21037]
D06197	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D06199	DNA
D06201	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06202	Amyloid beta [CPD:C16514 C16515]
D06203	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D06204	GRIN2B (NMDAR2B) [HSA:2904] [KO:K05210]
D06206	KCNH2 [HSA:3757] [KO:K04905]
D06207	HIV gag [KO:K22951] (mRNA)
D06208	OPRM1 [HSA:4988] [KO:K04215]
D06211	NR3C4 (AR) [HSA:367] [KO:K08557]
D06213	PTGIR [HSA:5739] [KO:K04263]
D06216	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06217	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D06221	AKT (PKB) [HSA:207 208 10000] [KO:K04456]
D06224	GABA-gated chloride channel [KO:K05181 K05195 K05175]
D06234	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D06235	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D06236	dihydrofolate reductase [KO:K13938]
D06238	DHFR [HSA:1719 200895] [KO:K00287]
D06239	DHFR [HSA:1719 200895] [KO:K00287]
D06240	PTGER2 [HSA:5732] [KO:K04259]
D06245	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D06246	HRH1 [HSA:3269] [KO:K04149]
D06247	GNRHR [HSA:2798] [KO:K04280]
D06248	GNRHR [HSA:2798] [KO:K04280]
D06252	PTPN1 [HSA:5770] [KO:K05696]
D06253	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D06254	30S ribosomal subunit
D06259	HBV surface antigen [KO:K23128]
D06265	DNA
D06266	DNA
D06268	OPRM1 [HSA:4988] [KO:K04215]
D06269	FSHR [HSA:2492] [KO:K04247]
D06272	RAF1 [HSA:5894] [KO:K04366]
	BRAF [HSA:673] [KO:K04365]
	FLT3 (CD135) [HSA:2322] [KO:K05092]
	PDGFRB [HSA:5159] [KO:K05089]
	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
	VEGFR3 (FLT4) [HSA:2324] [KO:K05097]
	KIT (CD117) [HSA:3815] [KO:K05091]
	RET [HSA:5979] [KO:K05126]
D06273	CHRM1 [HSA:1128] [KO:K04129]
	CHRM3 [HSA:1131] [KO:K04131]
D06274	PTGFR [HSA:5737] [KO:K04262]
D06275	Herpesvirus DNA polymerase [KO:K18964]
D06277	ABCB1 (CD243) [HSA:5243] [KO:K05658]
D06278	HBV reverse transcriptase [KO:K21037]
D06280	TBXA2R [HSA:6915] [KO:K04264]
D06281	SSTR2 [HSA:6752] [KO:K04218]
	SSTR5 [HSA:6755] [KO:K04221]
D06282	CHRNA4/CHRNB2 [HSA:1137 1141] [KO:K04806 K04813]
D06283	PLA2G [HSA:26279 30814 391013 50487 5319 5320 5322 64600 81579 8399 84647] [KO:K01047]
	PLA2G7 (LP-PLA2) [HSA:7941] [KO:K01062]
D06285	PDGFRB [HSA:5159] [KO:K05089]
	VEGFR1 (FLT1) [HSA:2321] [KO:K05096]
	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
	VEGFR3 (FLT4) [HSA:2324] [KO:K05097]
	KIT (CD117) [HSA:3815] [KO:K05091]
D06288	ACHE [HSA:43] [KO:K01049]
D06293	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D06294	DNA
D06297	CCR5 (CD195) [HSA:1234] [KO:K04180]
D06298	Herpesvirus DNA polymerase [KO:K18964]
D06299	Herpesvirus DNA polymerase [KO:K18964]
D06300	Herpesvirus DNA polymerase [KO:K18964]
D06304	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06305	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06306	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06307	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06308	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06309	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D06314	CD3 [HSA:915 916 917] [KO:K06450 K06451 K06452]
D06315	NR3C1 (GR) [HSA:2908] [KO:K05771]
D06317	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D06319	ITGA5/ITGB1 [HSA:3678 3688] [KO:K06484 K05719]
D06320	HDAC [HSA:3065 3066 8841 9759 10014 10013 51564 55869 9734 83933 79885] [KO:K06067 K11404 K11406 K11407 K11408 K11405 K11409 K18671 K11418]
D06321	CTAA 16.88 (complex of cytokeratin polypeptides)
D06327	HTR1A [HSA:3350] [KO:K04153]
D06328	ADRB1 [HSA:153] [KO:K04141]
D06329	ADRB1 [HSA:153] [KO:K04141]
D06330	CHRM1 [HSA:1128] [KO:K04129]
	CHRM4 [HSA:1132] [KO:K04132]
D06331	CHRM1 [HSA:1128] [KO:K04129]
